UVC,Make,Range,Model,Mark,ModelSeries,StartDate,EndDate,FuelType,VehicleClass,BodyShape,BodyStyle,NumberOfDoors,GrossVehicleWeightKG,PowerDelivery,EngineCapacityCC,EngineCapacityLitres,Aspiration,KW,BHP,NumberOfGears,TransmissionType,DriveType,DrivingAxle,BatteryCapacity,VehicleType,Model Status,VehiclesOnTheRoad ,DocumentVersion
M-AACQJ,Ford,Transit,Transit 350 Trend EcoBlue,5,V363,43677,NULL,Diesel,LCV,Semi High Roof,Panel Van,NULL,3500,ICE,1996,2,Turbocharged,125,167,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,89
M-AAFLL,Porsche,911,911 Carrera S,NULL,992,44043,NULL,Petrol,Car,NULL,Coupe,2,NULL,ICE,2981,3,Turbocharged,331,443,8,Manual,4x2,Rear,NULL,ICE,Current,TRUE,88
M-AAFVS,Iveco,Daily,Daily 35S14B,NULL,MY2014,44140,NULL,Diesel,LCV,Standard Roof,Chassis Cab,NULL,3500,ICE,2287,2.3,Turbocharged,100,134,6,Manual,4x2,Rear,NULL,ICE,Current,TRUE,94
M-AAGLX,Ford,Transit Custom,Transit Custom 300 Trend EcoBlue,6,V362,43749,NULL,Diesel,LCV,Standard Roof,Panel Van,NULL,3000,ICE,1996,2,Turbocharged,77,103,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,89
M-AAHJD,Volkswagen,Golf,Golf Life eTSI Semi-Auto,8,CD1,44279,NULL,Petrol,Car,NULL,Estate,5,NULL,ICE,1498,1.5,Turbocharged,95,128,7,Semi Automatic,4x2,Front,NULL,ICE,Current,TRUE,89
M-AAPXQ,Ford,Transit Custom,Transit Custom 320 Trend MHEV,6,V362,43683,NULL,Diesel,LCV,Standard Roof,Panel Van,NULL,3200,MHEV,1996,2,Turbocharged,95,128,6,Manual,4x2,Front,NULL,MHEV,Current,TRUE,89
M-AAQSD,Cupra,Leon,Leon VZ2 TSi Semi-Auto,1,SE380,44448,NULL,Petrol,Car,NULL,Hatchback,5,NULL,ICE,1984,2,Turbocharged,180,241,7,Semi Automatic,4x2,Front,NULL,ICE,Current,TRUE,91
M-AARXH,Ford,Kuga,Kuga Startline X Edition EcoBlue Auto,3,CX482,44135,NULL,Diesel,Car,NULL,SUV Estate,5,NULL,ICE,1499,1.5,Turbocharged,88,118,8,Automatic,4x2,Front,NULL,ICE,Current,TRUE,88
M-AAXSW,Audi,Q3,RS Q3 Sport Edition TFSI Quattro Semi-Auto,2,F3B,44179,NULL,Petrol,Car,NULL,SUV Hatchback,5,NULL,ICE,2480,2.5,Turbocharged,294,394,7,Semi Automatic,4x4,All - Permanent,NULL,ICE,Current,TRUE,86
M-ABBXL,Ford,Transit Custom,Transit Custom 300 Leader EcoBlue,6,V362,43683,NULL,Diesel,LCV,Semi High Roof,Panel Van,NULL,3000,ICE,1996,2,Turbocharged,77,103,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,89
M-ABCXH,Mercedes-Benz,Sprinter,Sprinter 315 Premium CDi,3,VS30,44096,NULL,Diesel,LCV,High Roof,Panel Van,NULL,3500,ICE,1950,2,Turbocharged,110,147,6,Manual,4x2,Rear,NULL,ICE,Current,TRUE,89
M-ABEZW,Mercedes-Benz,GLA,GLA 220 AMG Line Executive D 4Matic Auto,NULL,H247,44069,NULL,Diesel,Car,NULL,SUV Hatchback,5,NULL,ICE,1950,2,Turbocharged,140,187,8,Automatic,4x4,All - Permanent,NULL,ICE,Current,TRUE,84
M-ABTBZ,Alfa Romeo,Giulia,Giulia Veloce TB Auto,1,952,44274,NULL,Petrol,Car,NULL,Saloon,4,NULL,ICE,1995,2,Turbocharged,206,276,8,Automatic,4x2,Rear,NULL,ICE,Current,TRUE,89
M-ABWPD,Kia,Proceed,ProCeed GT ISG Semi-Auto,3,CD,44230,NULL,Petrol,Car,NULL,Estate,5,NULL,ICE,1591,1.6,Turbocharged,150,201,7,Semi Automatic,4x2,Front,NULL,ICE,Current,TRUE,89
M-ACFET,Hyundai,i30,i30 Premium MHEV TGDi Auto,3,PD,44344,NULL,Petrol,Car,NULL,Estate,5,NULL,MHEV,998,1,Turbocharged,88,118,7,Automatic,4x2,Front,NULL,MHEV,Current,TRUE,88
M-ACHEG,Cupra,Formentor,Formentor VZ2 TSi 4Drive Semi-Auto,1,SE316,44155,NULL,Petrol,Car,NULL,SUV Coupe,5,NULL,ICE,1984,2,Turbocharged,228,305,7,Semi Automatic,4x4,All - Permanent,NULL,ICE,Current,TRUE,92
M-ACNKP,Volkswagen,Up!,Up Beats,1,121,44123,NULL,Petrol,Car,NULL,Hatchback,5,NULL,ICE,999,1,Naturally Aspirated,47,64,5,Manual,4x2,Front,NULL,ICE,Current,TRUE,86
M-ACRJF,Ford,Transit,Transit 350 Trend EcoBlue,5,V363,43677,NULL,Diesel,LCV,Standard Roof,Panel Van,NULL,3500,ICE,1996,2,Turbocharged,95,128,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,89
M-ACRYT,Rolls-Royce,Cullinan,Cullinan Black Badge Auto,1,RR31,43775,NULL,Petrol,Car,NULL,SUV Estate,5,NULL,ICE,6749,6.7,Turbocharged,441,591,8,Automatic,4x4,All - Permanent,NULL,ICE,Current,TRUE,90
M-ACTAC,Audi,A1,A1 Sportback 30 TFSI S Line Black Edition,2,GBH,44183,NULL,Petrol,Car,NULL,Hatchback,5,NULL,ICE,999,1,Turbocharged,81,108,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,85
M-ACWYZ,BMW,1 Series,116d M Sport,NULL,F40,43734,NULL,Diesel,Car,NULL,Hatchback,5,NULL,ICE,1496,1.5,Turbocharged,85,114,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,95
M-ACXCJ,Ford,Transit Custom,Transit Custom 280 Limited EcoBlue,6,V362,43676,NULL,Diesel,LCV,Standard Roof,Panel Van,NULL,2800,ICE,1996,2,Turbocharged,95,128,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,89
M-ADCNG,Audi,A3,S3 Vorsprung TFSI Quattro Semi-Auto,NULL,8YS,44313,NULL,Petrol,Car,NULL,Saloon,4,NULL,ICE,1984,2,Turbocharged,228,305,7,Semi Automatic,4x4,All - Permanent,NULL,ICE,Current,TRUE,85
M-ADFLV,Ford,Transit Custom,Transit Custom 320 Trend EcoBlue Auto,6,V362,43840,NULL,Diesel,LCV,Standard Roof,Panel Van,NULL,3200,ICE,1996,2,Turbocharged,95,128,6,Automatic,4x2,Front,NULL,ICE,Current,TRUE,89
M-ADXSA,Mercedes-Benz,Sprinter,Sprinter 315 Premium CDi,3,VS30,44130,NULL,Diesel,LCV,Standard Roof,Panel Van,NULL,3500,ICE,1950,2,Turbocharged,110,147,6,Manual,4x2,Rear,NULL,ICE,Current,TRUE,89
M-ADZWK,Ford,Transit,Transit 350 Leader EcoBlue,5,V363,43728,NULL,Diesel,LCV,Semi High Roof,Panel Van,NULL,3500,ICE,1996,2,Turbocharged,125,167,6,Manual,4x2,Rear,NULL,ICE,Current,TRUE,89
M-AEBJK,Audi,A1,A1 Sportback 25 TFSI Sport Semi-Auto,2,GBH,43769,NULL,Petrol,Car,NULL,Hatchback,5,NULL,ICE,999,1,Turbocharged,70,93,7,Semi Automatic,4x2,Front,NULL,ICE,Current,TRUE,85
M-AEDJD,Audi,TT,TT S Line Vorsprung 45 TFSI Quattro Semi-Auto,NULL,FVR,44491,NULL,Petrol,Car,NULL,Convertible,2,NULL,ICE,1984,2,Turbocharged,180,241,7,Semi Automatic,4x4,All - Permanent,NULL,ICE,Current,TRUE,85
M-AEDRQ,Cupra,Formentor,Formentor V2 TSi 4Drive Semi-Auto,1,SE316,44402,NULL,Petrol,Car,NULL,SUV Coupe,5,NULL,ICE,1984,2,Turbocharged,140,187,7,Semi Automatic,4x4,All - Permanent,NULL,ICE,Current,TRUE,92
M-AEDXG,MG,ZS,ZS Exclusive VTi-Tech,1,ZS11,44225,NULL,Petrol,Car,NULL,SUV Hatchback,5,NULL,ICE,1498,1.5,Naturally Aspirated,78,104,5,Manual,4x2,Front,NULL,ICE,Current,TRUE,92
M-AEFTJ,Ford,Transit Custom,Transit Custom 280 Limited EcoBlue,6,V362,43685,NULL,Diesel,LCV,Standard Roof,Panel Van,NULL,2800,ICE,1996,2,Turbocharged,125,167,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,89
M-AELKG,Dacia,Sandero,Sandero Sway Prestige LPG TCe,2,BJI,44312,NULL,Petrol/LPG,Car,NULL,Hatchback,5,NULL,ICE,999,1,Turbocharged,67,89,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,87
