UVC,Make,Range,Model,Mark,ModelSeries,IntroductionDate,StartDate,EndDate,FuelType,VehicleClass,BodyShape,BodyStyle,NumberOfDoors,GrossVehicleWeightKG,PowerDelivery,EngineCapacityCC,EngineCapacityLitres,Aspiration,KW,BHP,NumberOfGears,TransmissionType,DriveType,DrivingAxle,BatteryCapacity,VehicleType,Model Status,VehiclesOnTheRoad,DocumentVersion
M-AAXFG,Vauxhall,Corsa,Corsa Limited Edition CDTi ecoFLEX,,S07,2010-03-19,2010-07-09,2011-01-31,Diesel,Car,,Hatchback,3,,ICE,1248,1.2,Turbocharged,55,73,5,Manual,4x2,Front,,ICE,Discontinued,TRUE,96
M-AAZRP,Ford,Galaxy,Galaxy Titanium EcoBlue Auto,4,CD390,2018-07-13,2018-09-05,2021-09-01,Diesel,Car,,MPV,5,2605,ICE,1996,2,Turbocharged,140,187,8,Automatic,4x2,Front,,ICE,Discontinued,TRUE,94
M-ABJQV,Ford,Galaxy,Galaxy Ghia TDI Auto,2,V191,2000-06-01,2000-09-18,2006-09-14,Diesel,Car,,MPV,5,2510,ICE,1896,1.9,Turbocharged,85,115,5,Automatic,4x2,Front,,ICE,Discontinued,TRUE,104
M-AAALF,Citroen,ZX,ZX Avantage Diesel,,,1992-10-01,,,Diesel,Car,,Hatchback,3,,ICE,1905,1.9,Naturally Aspirated,67,90,5,Manual,4x2,Front,,ICE,Current,FALSE,17
M-AACQJ,Ford,Transit,Transit 350 Trend EcoBlue,5,V363,2019-07-19,2019-07-31,,Diesel,LCV,Semi High Roof,Panel Van,,3500,ICE,1996,2,Turbocharged,125,167,6,Manual,4x2,Front,,ICE,Current,TRUE,96
M-AADLY,LDV,Maxus,Maxus 2.8t 95 LWB,,,2006-11-01,2007-02-06,2008-11-03,Diesel,LCV,Extra High Roof,Panel Van,,2800,ICE,2499,2.5,Turbocharged,70,95,5,Manual,4x2,Front,,ICE,Discontinued,TRUE,102
M-AAKPG,Vauxhall,Zafira,Zafira Elite CDTi 120,,A05,2007-07-01,2007-09-27,2009-06-24,Diesel,Car,,MPV,5,2195,ICE,1910,1.9,Turbocharged,89,120,6,Manual,4x2,Front,,ICE,Discontinued,TRUE,93
M-ADLSZ,Hyundai,i40,i40 Premium CRDi Blue Drive Semi-Auto,1,VF,2015-05-04,2015-06-24,2017-05-31,Diesel,Car,,Saloon,4,2100,ICE,1685,1.7,Turbocharged,104,139,7,Semi Automatic,4x2,Front,,ICE,Discontinued,TRUE,95
M-AEFTT,Volkswagen,Passat,Passat CL,3,,1990-08-01,1991-02-05,1994-03-29,Petrol,Car,,Estate,5,,ICE,1984,2,Naturally Aspirated,85,114,5,Manual,4x2,Front,,ICE,Discontinued,TRUE,22
M-AEKSF,Bentley,Bentayga,Bentayga V8 D Auto,1,4V1,2017-01-02,2017-02-03,2019-02-23,Diesel,Car,,SUV Estate,5,,ICE,3956,4,Turbocharged,320,429,8,Automatic,4x4,All Permanent,,ICE,Discontinued,TRUE,91
